year,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,C99,D01,D02,D03,D04,D05,D06,D07,D21,E01,E02,E03,E04,E05,E06,E21,F01,F02,F03,F04,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,F99,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,G99,H01,H02,H03,H04,H05,H10
2000,1131,61,33,1669,65,170,50,156,163,197,58,1180,4022,99,679,1142,92,46,28,225,18,56,35,193,789,486,792,224,248,121,76,91,709,47,49,436,549,85,92,106,3740,93,1104,144,56,1239,283,64,17,28,12,345,708,251,552,130,21,2407,2038,1145,332,201,1185,3,22,561,396,615,240,86,0,0,226,59,89,140,88,725,20,208,475,547,214,672,386,140,93,644,1166,162,774,69,1956,73,125,39,303,1511,802,59,151,232,71,53,0,2318,2677,897,75,309,14890,463,438,1058,295,3022,1,0,119,0,13656,1397,1141,11157,1072,0
2001,1244.0,89.0,20.0,1852.0,78.0,160.0,61.0,165.0,147.0,272.0,53.0,1469.0,4429.0,103.0,659.0,1251.0,98.0,58.0,12.0,241.0,6.0,65.0,67.0,166.0,1098.0,536.0,868.0,267.0,186.0,111.0,93.0,119.0,880.0,60.0,67.0,237.0,546.0,124.0,108.0,111.0,3615.0,104.0,1107.0,196.0,78.0,1275.0,241.0,57.0,7.0,54.0,43.0,377.0,794.0,296.0,631.0,131.0,22.0,2551.0,2236.0,1226.0,373.0,178.0,1285.0,2.0,13.0,722.0,381.0,592.0,275.0,99.0,,,226.0,87.0,84.0,163.0,97.0,951.0,10.0,178.0,462.0,579.0,256.0,772.0,387.0,124.0,90.0,649.0,1200.0,201.0,908.0,58.0,1824.0,80.0,140.0,36.0,246.0,1326.0,1018.0,56.0,163.0,270.0,76.0,60.0,,2567.0,3577.0,1083.0,69.0,242.0,9836.0,432.0,458.0,1256.0,292.0,3568.0,11.0,,102.0,,14336.0,1343.0,1079.0,11841.0,1422.0,
2002,1164.0,102.0,37.0,2080.0,64.0,218.0,85.0,161.0,166.0,332.0,72.0,1713.0,4492.0,135.0,631.0,1162.0,124.0,71.0,22.0,241.0,13.0,85.0,82.0,191.0,962.0,519.0,811.0,242.0,270.0,137.0,86.0,96.0,879.0,69.0,50.0,329.0,740.0,142.0,100.0,91.0,3896.0,94.0,950.0,181.0,76.0,1298.0,292.0,49.0,10.0,41.0,107.0,331.0,937.0,341.0,661.0,123.0,21.0,2557.0,2224.0,1170.0,350.0,200.0,1294.0,,13.0,532.0,337.0,503.0,233.0,104.0,,,257.0,71.0,116.0,188.0,133.0,1170.0,14.0,164.0,503.0,604.0,232.0,828.0,400.0,186.0,141.0,637.0,1104.0,180.0,887.0,62.0,1850.0,55.0,150.0,13.0,300.0,1696.0,1151.0,43.0,154.0,290.0,79.0,57.0,,2359.0,4419.0,1186.0,70.0,241.0,7647.0,341.0,507.0,1267.0,301.0,3625.0,8.0,,110.0,,14239.0,1555.0,1057.0,12903.0,1439.0,
2003,1250.0,116.0,45.0,2240.0,78.0,269.0,79.0,200.0,155.0,327.0,64.0,1937.0,4812.0,201.0,740.0,1147.0,109.0,57.0,20.0,256.0,8.0,77.0,85.0,176.0,780.0,457.0,900.0,229.0,290.0,123.0,101.0,114.0,929.0,70.0,60.0,442.0,768.0,108.0,88.0,80.0,4437.0,133.0,1135.0,183.0,69.0,1289.0,333.0,53.0,9.0,39.0,134.0,381.0,895.0,278.0,680.0,95.0,17.0,2469.0,2407.0,1459.0,362.0,171.0,1229.0,1.0,17.0,342.0,365.0,475.0,219.0,84.0,,,230.0,79.0,114.0,174.0,94.0,1315.0,11.0,167.0,591.0,763.0,333.0,952.0,429.0,220.0,148.0,664.0,1027.0,235.0,970.0,73.0,1908.0,74.0,187.0,21.0,301.0,1745.0,1303.0,35.0,151.0,299.0,81.0,45.0,,2499.0,5326.0,1481.0,56.0,265.0,8918.0,285.0,686.0,2024.0,311.0,4196.0,7.0,,134.0,,16472.0,1419.0,888.0,15676.0,1864.0,
2004,1297.0,99.0,44.0,2194.0,77.0,268.0,68.0,215.0,161.0,309.0,65.0,2379.0,5304.0,201.0,801.0,1411.0,142.0,63.0,27.0,320.0,13.0,58.0,101.0,216.0,516.0,445.0,928.0,256.0,274.0,217.0,82.0,110.0,889.0,55.0,81.0,558.0,888.0,162.0,96.0,135.0,4620.0,142.0,1388.0,271.0,82.0,1654.0,402.0,80.0,4.0,80.0,136.0,385.0,732.0,334.0,627.0,117.0,16.0,2753.0,2371.0,1592.0,295.0,188.0,1323.0,3.0,18.0,249.0,375.0,572.0,224.0,80.0,,,254.0,84.0,120.0,202.0,83.0,1656.0,20.0,192.0,812.0,1018.0,424.0,1457.0,410.0,245.0,148.0,656.0,971.0,239.0,937.0,80.0,2275.0,65.0,214.0,19.0,275.0,2299.0,1563.0,44.0,88.0,279.0,69.0,42.0,,2763.0,6277.0,2088.0,43.0,341.0,10116.0,298.0,685.0,2747.0,341.0,4850.0,6.0,,138.0,,20131.0,1900.0,1112.0,21159.0,2864.0,
2005,1540.0,77.0,33.0,2349.0,80.0,323.0,112.0,272.0,192.0,436.0,106.0,2740.0,5883.0,256.0,900.0,1629.0,176.0,53.0,16.0,467.0,10.0,72.0,138.0,351.0,616.0,469.0,1221.0,255.0,419.0,221.0,75.0,135.0,1131.0,57.0,75.0,579.0,938.0,160.0,116.0,116.0,4605.0,164.0,1378.0,361.0,93.0,1644.0,414.0,72.0,7.0,79.0,219.0,564.0,955.0,339.0,635.0,96.0,15.0,2979.0,2918.0,2024.0,340.0,231.0,1512.0,2.0,27.0,298.0,444.0,676.0,249.0,105.0,,,262.0,92.0,105.0,212.0,108.0,1682.0,37.0,243.0,1159.0,1703.0,631.0,2002.0,494.0,404.0,201.0,659.0,901.0,257.0,1017.0,105.0,2387.0,54.0,291.0,23.0,291.0,2489.0,1691.0,56.0,60.0,310.0,103.0,43.0,,3164.0,7502.0,2305.0,62.0,324.0,11617.0,484.0,901.0,3288.0,389.0,4992.0,7.0,,153.0,,23551.0,2345.0,1211.0,24482.0,3509.0,
2006,1822.0,85.0,43.0,2497.0,62.0,344.0,100.0,305.0,255.0,441.0,84.0,2687.0,6870.0,325.0,1085.0,1905.0,156.0,71.0,31.0,479.0,19.0,94.0,252.0,420.0,783.0,610.0,1318.0,415.0,576.0,284.0,65.0,196.0,1257.0,96.0,63.0,712.0,818.0,239.0,122.0,88.0,5509.0,229.0,1366.0,340.0,78.0,1862.0,498.0,82.0,6.0,68.0,272.0,545.0,981.0,395.0,616.0,100.0,5.0,3339.0,3145.0,1974.0,356.0,224.0,1695.0,2.0,20.0,305.0,563.0,732.0,270.0,96.0,3.0,1.0,259.0,90.0,105.0,194.0,110.0,1267.0,16.0,220.0,1305.0,1714.0,875.0,2048.0,564.0,444.0,224.0,801.0,1175.0,335.0,959.0,95.0,2891.0,96.0,427.0,23.0,280.0,2427.0,1590.0,90.0,88.0,313.0,108.0,40.0,,4176.0,8391.0,1685.0,71.0,269.0,12326.0,462.0,877.0,3359.0,538.0,4374.0,7.0,,216.0,,22914.0,2625.0,1188.0,21180.0,3707.0,
2007,2062.0,122.0,73.0,2848.0,104.0,438.0,82.0,372.0,220.0,596.0,139.0,3217.0,7846.0,321.0,1247.0,2253.0,205.0,109.0,39.0,603.0,20.0,110.0,214.0,378.0,1021.0,650.0,1544.0,474.0,544.0,335.0,123.0,173.0,1441.0,124.0,74.0,586.0,816.0,303.0,205.0,213.0,5730.0,233.0,1474.0,604.0,110.0,2138.0,718.0,91.0,10.0,82.0,431.0,587.0,1026.0,384.0,798.0,140.0,5.0,3866.0,3403.0,2164.0,455.0,248.0,1980.0,2.0,24.0,352.0,561.0,1041.0,339.0,119.0,1.0,,270.0,92.0,133.0,207.0,184.0,1298.0,16.0,315.0,1387.0,1870.0,941.0,2301.0,650.0,508.0,268.0,966.0,1312.0,515.0,952.0,101.0,3198.0,187.0,699.0,38.0,404.0,2451.0,1381.0,82.0,108.0,446.0,113.0,57.0,2.0,4844.0,6087.0,1804.0,106.0,453.0,13214.0,455.0,935.0,2350.0,532.0,3995.0,11.0,,261.0,,22086.0,2405.0,1252.0,20498.0,2919.0,
2008,2199.0,131.0,50.0,2701.0,103.0,476.0,110.0,492.0,224.0,684.0,172.0,3260.0,8385.0,353.0,1349.0,2291.0,191.0,101.0,69.0,573.0,21.0,84.0,217.0,438.0,991.0,547.0,1488.0,479.0,605.0,321.0,114.0,165.0,1489.0,121.0,78.0,610.0,749.0,331.0,246.0,254.0,5367.0,301.0,1492.0,896.0,129.0,2422.0,560.0,93.0,8.0,84.0,560.0,608.0,1117.0,459.0,818.0,113.0,5.0,4116.0,3276.0,2305.0,572.0,207.0,1949.0,1.0,26.0,459.0,636.0,892.0,329.0,133.0,1.0,,265.0,77.0,155.0,235.0,141.0,1235.0,19.0,254.0,1613.0,1924.0,838.0,2314.0,672.0,516.0,281.0,848.0,1360.0,752.0,935.0,111.0,2869.0,187.0,1171.0,72.0,485.0,2363.0,1383.0,82.0,73.0,374.0,146.0,39.0,2.0,5411.0,4963.0,1538.0,95.0,395.0,12763.0,603.0,1000.0,2289.0,562.0,3035.0,14.0,,294.0,,20283.0,2776.0,1112.0,19643.0,3062.0,
2009,2498.0,149.0,50.0,2853.0,113.0,466.0,140.0,495.0,184.0,755.0,180.0,3333.0,8487.0,419.0,1339.0,2500.0,193.0,90.0,58.0,620.0,23.0,94.0,280.0,354.0,1025.0,542.0,1681.0,409.0,687.0,350.0,136.0,184.0,1554.0,112.0,73.0,679.0,651.0,282.0,222.0,204.0,4118.0,308.0,1464.0,1084.0,170.0,2484.0,643.0,82.0,16.0,61.0,535.0,715.0,1352.0,442.0,807.0,145.0,14.0,3681.0,2950.0,2408.0,537.0,241.0,2082.0,3.0,15.0,516.0,602.0,793.0,344.0,239.0,,,300.0,82.0,192.0,221.0,122.0,1280.0,33.0,185.0,1800.0,2052.0,797.0,2401.0,719.0,608.0,336.0,685.0,1037.0,1117.0,778.0,95.0,2659.0,202.0,1694.0,48.0,543.0,2196.0,1216.0,121.0,163.0,424.0,178.0,87.0,,5377.0,4227.0,1525.0,73.0,288.0,12700.0,392.0,970.0,2216.0,466.0,2189.0,1.0,,285.0,1.0,17154.0,2997.0,927.0,17253.0,2572.0,
