,word,count
11489,상기,71740
8649,발명,35929
20200,장치,25726
29793,형성,21304
27920,포함,17949
8786,방법,16768
12144,설치,14583
30432,회전,12557
2326,구성,12106
4280,단계,11200
21319,제공,10623
8898,방향,9955
14704,신호,9911
2320,구비,9799
21389,제어,9749
11148,사용,9745
1733,공급,9659
1570,고정,9359
18226,위치,9150
16772,연결,9119
13057,수단,9091
8672,발생,8879
10113,부재,8793
19088,이용,8713
21417,제조,8563
26657,특징,7712
3557,내부,7341
11529,상부,6359
11163,사이,6229
1826,공정,6122
18916,이동,6100
28064,표면,5879
14421,시스템,5869
23099,처리,5869
28880,하나,5826
28913,하부,5661
244,각각,5643
8863,방지,5627
6169,로부터,5568
22367,지지,5525
126,가스,5432
30544,효과,5426
1208,결합,5400
19044,이송,5352
11633,상태,5258
19012,이상,5125
5622,또한,5002
23782,출력,4855
9017,배출,4717
26311,통해,4671
2364,구조,4604
4184,다수,4550
21137,정보,4527
18241,위해,4522
1739,공기,4509
28276,프레임,4469
12269,성형,4467
21313,제거,4359
10252,분리,4356
10037,부분,4266
9,가공,4223
19953,작업,4200
21609,조절,4165
9896,본체,4162
9026,배치,4085
17555,외부,4058
12170,섬유,4037
14753,실린더,3989
8022,물질,3966
29487,향상,3931
2883,금속,3787
19769,자동,3787
7598,모터,3783
14337,시간,3781
22789,차량,3770
10145,부착,3754
29975,혼합,3752
11457,삽입,3745
4751,데이터,3712
17351,온도,3675
5106,동시,3667
10093,부와,3657
164,가열,3650
19630,입력,3636
12406,센서,3636
22012,중량,3619
9142,밸브,3616
18518,유지,3593
9817,복수,3526
6281,롤러,3369
2285,구동,3367
17088,영역,3351
12104,선택,3335
184,가이드,3323
16807,연료,3232
29789,형상,3216
29815,형태,3210
30401,회로,3201
19303,인쇄,3164
20430,저장,3152
4316,단부,3125
19941,작동,3117
29106,함유,2996
24000,측면,2995
20179,장착,2995
1319,경우,2984
21914,주파수,2940
12655,소정,2935
7650,목적,2929
3170,길이,2928
3623,냉각,2868
3005,기능,2868
17686,용기,2859
20685,전압,2844
3023,기록,2807
4161,다른,2797
24965,코팅,2794
9978,부가,2792
20265,재료,2792
3598,내지,2758
10104,부의,2751
20848,절단,2749
1713,공간,2744
15468,압력,2732
901,건조,2727
21040,접촉,2677
526,감지,2675
6179,로서,2661
24051,측정,2655
11792,생산,2626
28827,필름,2607
20591,전달,2588
11896,서로,2575
14496,시트,2499
21444,제품,2486
28078,표시,2480
4616,대한,2463
710,개시,2433
30556,효율,2431
13224,수직,2430
13173,수용,2427
7725,몸체,2426
3808,노즐,2426
29550,헤드,2421
6023,레일,2397
22447,직물,2310
25866,탱크,2305
18304,유닛,2298
11542,상세,2271
10276,분사,2265
5027,돌출,2265
12141,설정,2244
26248,통과,2226
19708,잉크,2199
5071,동력,2196
28482,플레이,2179
18533,유체,2175
22062,중앙,2165
12713,속도,2160
1935,과정,2156
14073,스프링,2151
215,가지,2144
5139,동작,2135
8567,반응,2129
26378,투입,2122
24604,커버,2096
155,가압,2087
295,간격,2084
19535,일정,2072
