,word,count
5681,방법,40054
13036,장치,34094
13783,제조,18380
9248,시스템,10927
12297,이용,9784
13767,제어,5467
17851,포함,4448
13881,조성,3679
14694,차량,3617
1429,구비,3598
1450,구조,2760
12306,이의,2426
14879,처리,2305
12737,자동,2294
84,가스,2154
7196,사용,2042
1813,기능,1835
3,가공,1700
19045,형성,1659
5739,방지,1650
13357,전자,1650
7848,섬유,1645
1729,금속,1502
6405,복합,1498
10631,엔진,1472
17949,표시,1388
10764,연료,1341
18605,함유,1330
1032,공급,1305
19406,회로,1290
5604,발생,1262
13915,조절,1221
1792,기계,1218
13252,전기,1212
4811,모듈,1198
13716,제거,1196
5149,물질,1194
6635,분리,1113
15388,측정,1104
5943,밸브,1104
7989,센서,1094
9309,시트,1065
1823,기록,1045
15989,코팅,1031
7907,성형,1005
12449,인쇄,991
416,개선,973
19425,회전,962
14490,직물,949
6305,보일러,947
1868,기용,926
5627,발전,917
8144,소자,909
4266,립체,900
11882,유체,897
4524,매체,894
7591,생산,885
11734,유닛,884
13802,제품,876
13071,재료,869
9456,신호,868
17938,표면,862
1036,공기,843
19288,화합물,839
19418,회수,830
6547,부재,821
13293,전력,805
18422,필름,804
13860,조립,802
11317,용기,796
1028,공구,796
13614,정보,791
17460,펌프,783
60,가변,778
1402,구동,775
2179,냉각,773
12826,자전거,771
11322,용도,771
919,고정,771
3397,디바이스,766
6567,부착,759
9884,안전,739
18873,향상,730
4903,목재,729
3787,레이,728
10766,연마,716
10496,에너지,712
1807,기기,711
13091,재생,709
11567,원단,708
1090,공정,706
4864,모터,702
1984,나노,702
1190,관리,699
5016,무선,699
18429,필터,698
13778,제작,696
1805,기구,694
13861,조명,694
7753,선박,690
12857,작동,688
18903,헤드,688
6352,보호,683
14256,중합체,679
7424,상기,674
11686,위치,670
18629,합성,662
16382,타이어,659
17332,패널,651
7827,설비,648
12743,자동차,646
5145,물의,640
11768,유리,636
16865,통신,633
10785,연속,630
9188,시공,629
10184,액체,619
8478,수지,607
3039,도어,600
13866,조물,600
6800,브레이크,597
19568,휴대,596
698,결합,594
1059,공법,593
5708,방식,590
5562,발광,588
3200,동작,585
6597,부품,584
10743,연결,582
1835,기반,579
2587,다중,579
3908,로부터,578
12681,입자,572
15321,충전,568
1588,그것,566
3412,디스플레이,566
1452,구조체,566
11716,유기,562
3689,램프,557
13769,제어장치,555
12255,이송,551
7833,설치,549
11177,와이어,547
18481,하이브리드,545
10180,액정,541
15216,추출,539
14109,주파수,536
14946,철도차량,535
3800,레이저,534
2932,데이터,533
1312,광학,532
12868,작업,531
319,감지,527
12324,이중,526
7968,세척,521
10402,어셈블리,519
13718,제공,519
5513,반도체,519
5157,물품,517
15462,친환경,517
13457,절삭,517
1432,구성,517
17643,폐기물,511
13448,절단,510
10783,연소,510
543,건조,508
3447,디지털,508
16620,터빈,507
685,결정,505
5771,방향,504
11049,오염,503
11122,온도,499
110,가열,497
8563,순환,492
13174,저장,492
6922,비료,490
15148,촉매,486
10009,압력,485
6649,분사,484
13214,적용,483
19226,화상,482
12179,이동,482
13705,정화,477
12611,일체,475
14883,처리장치,472
13336,전압,468
15883,케이블,464
15592,카트리지,459
18216,플러그,454
17377,패턴,450
14431,지지,450
6314,보조,449
17900,폴리,449
19157,혼합,445
16954,튜브,444
13284,전동,441
6072,베어링,437
4366,마이크로,431
5652,발효,427
17455,펄프,427
18161,프린터,425
6190,변환,423
8797,스크린,423
13524,점화,422
12721,자기,421
11737,유도,419
3810,레일,417
13673,정제,416
14719,차용,415
10087,압축기,414
14538,진동,414
10085,압축,413
13916,조정,412
3151,동력,409
6235,보강,406
18616,합금,406
5222,미세,406
11056,오일,405
18338,피스톤,404
1381,교환,404
5869,배출,403
14278,증기,402
14525,진공,401
9350,식물,398
11814,유압,395
12699,잉크,395
16024,콘크리트,393
10841,열교환기,393
15740,커버,390
4597,멀티,388
13995,종이,388
11749,유동,385
14943,철도,384
2325,노즐,382
18084,프레임,380
16599,터널,380
2207,냉장고,379
10935,영상,377
17795,포장,374
13277,전달,371
18189,플라즈마,370
19477,효율,370
11670,위상,370
142,가죽,369
5954,버너,369
6126,벨트,368
6868,블록,368
277,감소,366
9485,실린더,366
11287,요소,365
11744,유도체,363
14534,진기,363
10538,에어,362
9183,시계,361
2842,대한,361
7246,사진,360
932,고체,359
16885,통합,357
13420,전해,357
863,고무,357
6252,보드,357
8680,스마트,357
6652,분산,356
18390,피혁,354
12015,음료,351
389,강판,351
6640,분말,351
2147,내연기관,350
1800,기관,349
